Symbol,Close,Volume,Date
ACB,20650,216910,2022-10-26
BID,31700,68400,2022-10-26
BVH,51200,60270,2022-10-26
CTG,22400,344960,2022-10-26
FPT,73800,62510,2022-10-26
GAS,108000,18180,2022-10-26
GVR,13500,129310,2022-10-26
HDB,15950,92040,2022-10-26
HPG,16900,1124370,2022-10-26
KDH,21700,296790,2022-10-26
MBB,16400,726490,2022-10-26
MSN,78000,100600,2022-10-26
MWG,51900,152820,2022-10-26
NVL,74500,106920,2022-10-26
PDR,45500,87840,2022-10-26
PLX,27750,62730,2022-10-26
POW,10000,482230,2022-10-26
SAB,186100,15060,2022-10-26
SSI,14850,901440,2022-10-26
STB,15000,762480,2022-10-26
TCB,21400,315340,2022-10-26
TPB,20000,112890,2022-10-26
VCB,70000,59140,2022-10-26
VHM,43500,370030,2022-10-26
VIB,19050,78720,2022-10-26
VIC,54800,105410,2022-10-26
VJC,107500,12950,2022-10-26
VNM,76000,82470,2022-10-26
VPB,15550,706040,2022-10-26
VRE,22200,66720,2022-10-26
