Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-11-08,86000,118060,83009.09,80976.19,95882.35,1.78,-0.58,5.52,-24.6,-31.61
TPB,2022-11-08,20500,423870,20836.36,20611.9,23612.75,1.99,-5.96,-8.28,-35.13,-36.81
GVR,2022-11-08,13050,117420,13809.09,14806.67,19641.18,4.82,-10.0,-21.39,-47.7,-67.46
CTG,2022-11-08,23850,627460,23745.45,22947.62,24249.02,2.14,-2.45,19.55,-5.17,-25.51
NVL,2022-11-08,51900,34940,67009.09,70914.29,78160.78,-6.99,-25.86,-34.3,-33.89,-35.0
VHM,2022-11-08,43800,552110,44463.64,47173.81,53022.55,-0.23,-2.67,-18.59,-33.71,-45.29
POW,2022-11-08,10450,1085580,10160.0,10394.76,12057.65,6.74,0.97,-1.88,-19.31,-20.23
SAB,2022-11-08,183000,16920,184663.64,186085.71,186719.61,-0.54,-0.33,-2.14,14.3,7.68
FPT,2022-11-08,73300,94500,74163.64,73961.9,78684.31,0.96,-2.91,-0.95,-5.34,-8.64
HPG,2022-11-08,13150,4627380,15536.36,16854.76,19943.14,-4.01,-12.33,-25.28,-56.51,-69.41
MBB,2022-11-08,17200,871940,17386.36,17192.86,19559.8,1.47,-4.44,1.47,-21.22,-27.58
VIB,2022-11-08,18550,344630,19581.82,19642.86,21531.37,0.54,-7.94,-7.25,-35.79,-33.49
STB,2022-11-08,16450,2203470,16168.0,16526.1,19647.02,6.13,-2.66,-1.79,-30.74,-40.93
BID,2022-11-08,34900,307910,33409.09,32690.48,34191.18,4.8,2.5,19.52,1.31,0.45
VCB,2022-11-08,72600,165990,72227.27,69628.57,73962.75,1.11,-3.2,8.85,-6.8,-4.51
GAS,2022-11-08,114400,38160,110454.55,109657.14,110470.59,1.33,4.0,12.16,12.03,-4.45
VNM,2022-11-08,82400,230140,79100.0,76923.81,75409.8,0.24,2.74,18.05,21.76,-4.56
SSI,2022-11-08,15000,1638030,15686.36,16359.52,19029.41,4.9,-11.5,-10.71,-37.13,-62.06
BVH,2022-11-08,50800,63610,51481.82,50550.0,53175.49,3.89,-4.15,5.39,-14.48,-20.0
TCB,2022-11-08,24150,535380,24059.09,24230.95,30413.73,1.68,-5.85,-11.38,-37.44,-54.09
MWG,2022-11-08,44600,411700,49372.73,53038.1,62084.31,4.08,-10.98,-17.41,-34.18,-31.78
VPB,2022-11-08,17200,2233540,16700.0,16283.33,17981.25,0.58,0.0,12.05,-18.87,-31.29
PDR,2022-11-08,32500,31290,41390.91,44959.52,49214.71,-6.88,-23.35,-34.34,-45.19,-52.42
PLX,2022-11-08,29450,75780,28827.27,30719.05,34798.04,2.08,1.2,-7.39,-30.87,-46.16
KDH,2022-11-08,20300,220680,21995.45,23559.52,28724.51,1.75,-10.96,-18.8,-47.95,-53.53
VIC,2022-11-08,53300,247610,54900.0,56609.52,59580.39,-0.19,-3.79,-11.46,-32.62,-43.84
HDB,2022-11-08,14500,644350,15886.36,16228.57,18288.82,1.05,-12.65,-16.91,-21.2,-32.87
ACB,2022-11-08,21300,406590,21409.09,20819.05,21965.69,3.15,-5.12,14.21,-12.99,-20.52
VRE,2022-11-08,25250,179840,24731.82,24669.05,26486.27,-0.98,-3.81,-2.88,-10.46,-18.15
VJC,2022-11-08,100400,28490,104872.73,106619.05,111766.67,0.2,-5.55,-12.7,-19.03,-23.82
