Symbol,Close,Volume,Date
ACB,21300,406590,2022-11-08
BID,34900,307910,2022-11-08
BVH,50800,63610,2022-11-08
CTG,23850,627460,2022-11-08
FPT,73300,94500,2022-11-08
GAS,114400,38160,2022-11-08
GVR,13050,117420,2022-11-08
HDB,14500,644350,2022-11-08
HPG,13150,4627380,2022-11-08
KDH,20300,220680,2022-11-08
MBB,17200,871940,2022-11-08
MSN,86000,118060,2022-11-08
MWG,44600,411700,2022-11-08
NVL,51900,34940,2022-11-08
PDR,32500,31290,2022-11-08
PLX,29450,75780,2022-11-08
POW,10450,1085580,2022-11-08
SAB,183000,16920,2022-11-08
SSI,15000,1638030,2022-11-08
STB,16450,2203470,2022-11-08
TCB,24150,535380,2022-11-08
TPB,20500,423870,2022-11-08
VCB,72600,165990,2022-11-08
VHM,43800,552110,2022-11-08
VIB,18550,344630,2022-11-08
VIC,53300,247610,2022-11-08
VJC,100400,28490,2022-11-08
VNM,82400,230140,2022-11-08
VPB,17200,2233540,2022-11-08
VRE,25250,179840,2022-11-08
