Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-11-02,81000,89190,80063.64,80971.43,98017.65,0.0,-2.41,-13.83,-27.86,-32.7
MSN,2022-11-02,81000,89190,80063.64,80971.43,98017.65,-6.36,3.85,-18.18,-29.66,-32.7
MSN,2022-11-02,81000,89190,80154.55,80476.19,97413.73,0.0,-2.41,-13.83,-27.86,-32.7
MSN,2022-11-02,81000,89190,80154.55,80476.19,97413.73,-6.36,3.85,-18.18,-29.66,-32.7
TPB,2022-11-02,21550,400250,20677.27,20992.86,24194.12,0.0,2.62,-9.64,-32.66,-34.18
TPB,2022-11-02,21550,400250,20677.27,20992.86,24194.12,-1.15,7.75,-13.8,-35.86,-33.58
TPB,2022-11-02,21550,400250,20768.18,20876.19,24069.61,0.0,2.62,-9.64,-32.66,-34.18
TPB,2022-11-02,21550,400250,20768.18,20876.19,24069.61,-1.15,7.75,-13.8,-35.86,-33.58
GVR,2022-11-02,14200,116790,14609.09,15609.52,20505.88,0.0,-1.39,-26.99,-50.78,-64.32
GVR,2022-11-02,14200,116790,14609.09,15609.52,20505.88,-2.07,5.19,-32.06,-50.78,-64.32
GVR,2022-11-02,14200,116790,14395.45,15376.19,20320.59,0.0,-1.39,-26.99,-50.78,-64.32
GVR,2022-11-02,14200,116790,14395.45,15376.19,20320.59,-2.07,5.19,-32.06,-50.78,-64.32
CTG,2022-11-02,24000,538980,23181.82,22411.9,24594.12,0.0,0.21,11.11,-11.11,-25.49
CTG,2022-11-02,24000,538980,23181.82,22411.9,24594.12,-1.84,7.14,3.45,-13.51,-24.11
CTG,2022-11-02,24000,538980,23254.55,22507.14,24515.69,0.0,0.21,11.11,-11.11,-25.49
CTG,2022-11-02,24000,538980,23254.55,22507.14,24515.69,-1.84,7.14,3.45,-13.51,-24.11
NVL,2022-11-02,69200,167850,73145.45,74990.48,80088.24,0.0,-6.36,-15.61,-14.04,-13.83
