Symbol,Close,Volume,Date
ACB,20400,338550,2022-10-22
BID,32600,165730,2022-10-22
BVH,48050,91170,2022-10-22
CTG,21650,665860,2022-10-22
FPT,73900,156490,2022-10-22
GAS,107200,46830,2022-10-22
GVR,15100,212430,2022-10-22
HDB,16500,182170,2022-10-22
HPG,16900,4515590,2022-10-22
KDH,23850,327180,2022-10-22
MBB,16100,1374060,2022-10-22
MSN,74800,165120,2022-10-22
MWG,54400,423820,2022-10-22
NVL,75000,194520,2022-10-22
PDR,48700,126360,2022-10-22
PLX,31500,184590,2022-10-22
POW,10300,1189040,2022-10-22
SAB,193000,17750,2022-10-22
SSI,16200,2807640,2022-10-22
STB,15950,2253030,2022-10-22
TCB,22900,963340,2022-10-22
TPB,20100,277880,2022-10-22
VCB,68000,128370,2022-10-22
VHM,47950,538390,2022-10-22
VIB,19200,215170,2022-10-22
VIC,56800,141460,2022-10-22
VJC,108900,20680,2022-10-22
VNM,77000,209760,2022-10-22
VPB,15550,1370660,2022-10-22
VRE,24000,72060,2022-10-22
