Symbol,Close,Volume,Date
ACB,19500,279780,2022-10-24
BID,30350,137420,2022-10-24
BVH,47900,78860,2022-10-24
CTG,21000,494500,2022-10-24
FPT,71100,142610,2022-10-24
GAS,107200,50360,2022-10-24
GVR,14050,169470,2022-10-24
HDB,15950,222050,2022-10-24
HPG,16400,2797310,2022-10-24
KDH,22200,122370,2022-10-24
MBB,15600,1741810,2022-10-24
MSN,72800,129570,2022-10-24
MWG,50600,482800,2022-10-24
NVL,74400,235720,2022-10-24
PDR,47000,135110,2022-10-24
PLX,29300,145210,2022-10-24
POW,9880,1141390,2022-10-24
SAB,181000,27930,2022-10-24
SSI,15100,2335420,2022-10-24
STB,14850,2714740,2022-10-24
TCB,21300,1180060,2022-10-24
TPB,20150,326170,2022-10-24
VCB,68000,67010,2022-10-24
VHM,44600,183400,2022-10-24
VIB,18850,191910,2022-10-24
VIC,56500,160610,2022-10-24
VJC,107000,20780,2022-10-24
VNM,74000,157860,2022-10-24
VPB,15400,1049320,2022-10-24
VRE,22350,177810,2022-10-24
