Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-11-07,84500,126670,81809.09,80714.29,96407.84,0.24,-1.17,3.68,-27.25,-30.89
TPB,2022-11-07,20100,252180,20804.55,20626.19,23775.49,-5.63,-2.9,-10.07,-40.18,-37.62
GVR,2022-11-07,12450,155660,13900.0,14969.05,19884.31,-6.74,-13.54,-25.0,-53.54,-68.84
CTG,2022-11-07,23350,703310,23486.36,22797.62,24344.12,-4.69,-5.08,17.04,-13.52,-26.85
NVL,2022-11-07,55800,39330,69054.55,72080.95,78782.35,-6.84,-20.29,-29.37,-30.94,-30.38
VHM,2022-11-07,43900,302050,44536.36,47654.76,53359.8,-1.35,-2.44,-18.4,-34.23,-44.9
POW,2022-11-07,9790,636340,10108.18,10420.95,12129.22,-0.1,-5.41,-8.08,-29.57,-24.69
SAB,2022-11-07,184000,19680,184481.82,186157.14,186807.84,1.1,-0.7,-1.6,9.85,9.34
FPT,2022-11-07,72600,157240,73963.64,73995.24,78939.22,-0.41,-3.97,-1.89,-12.04,-9.7
HPG,2022-11-07,13700,3826310,15831.82,17102.38,20152.94,-6.48,-12.46,-22.16,-56.69,-68.02
MBB,2022-11-07,16950,1158470,17240.91,17195.24,19686.27,-5.31,-4.24,0.0,-27.36,-29.01
VIB,2022-11-07,18450,597830,19609.09,19709.52,21671.57,-6.58,-5.87,-7.75,-38.65,-34.45
STB,2022-11-07,15500,2069890,16022.55,16552.29,19827.41,-6.63,-4.02,-7.46,-39.22,-43.94
BID,2022-11-07,33300,158220,32995.45,32457.14,34277.45,0.0,-3.62,14.04,-10.0,-3.5
VCB,2022-11-07,71800,123200,71809.09,69271.43,74147.06,0.0,-2.31,7.65,-9.57,-4.88
GAS,2022-11-07,112900,40490,109800.0,109257.14,110511.76,1.71,1.62,10.69,5.63,-5.25
VNM,2022-11-07,82200,263830,78336.36,76357.14,75321.57,2.75,4.71,17.77,21.12,-3.09
SSI,2022-11-07,14300,2116760,15695.45,16473.81,19235.29,-6.84,-12.27,-14.88,-44.21,-62.48
BVH,2022-11-07,48900,64440,51218.18,50511.9,53297.06,-2.2,-6.86,1.45,-23.35,-22.51
TCB,2022-11-07,23750,632620,23800.0,24309.52,30715.69,-6.86,-3.46,-12.84,-42.77,-55.19
MWG,2022-11-07,42850,534420,49918.18,53633.33,62550.98,-6.95,-16.96,-20.65,-41.16,-34.65
VPB,2022-11-07,17100,2317150,16536.36,16195.24,18061.65,0.88,4.59,11.4,-24.89,-32.41
PDR,2022-11-07,34900,28010,42709.09,45797.62,49689.22,-6.93,-20.14,-29.49,-42.79,-49.87
PLX,2022-11-07,28850,68630,28813.64,30911.9,35081.37,0.17,1.23,-9.28,-37.01,-46.47
KDH,2022-11-07,19950,186530,22168.18,23826.19,29075.49,-6.99,-12.11,-20.2,-52.4,-54.47
VIC,2022-11-07,53400,170250,55190.91,56938.1,59827.45,-1.66,-3.61,-11.3,-33.08,-43.79
HDB,2022-11-07,14350,488890,16018.18,16342.86,18419.41,-6.82,-12.5,-17.77,-25.42,-32.82
ACB,2022-11-07,20650,490860,21245.45,20695.24,22038.24,2.48,-7.81,10.72,-16.73,-22.95
VRE,2022-11-07,25500,157520,24468.18,24676.19,26563.73,-1.92,3.66,-1.92,-13.85,-18.27
VJC,2022-11-07,100200,23000,105472.73,107076.19,112217.65,0.1,-6.88,-12.87,-21.72,-22.92
