Symbol,Close,Volume,Date
ACB,21350,42300,2022-10-20
BID,33150,3060,2022-10-20
BVH,51000,2990,2022-10-20
CTG,23250,26370,2022-10-20
FPT,77800,16890,2022-10-20
GAS,110900,1200,2022-10-20
GVR,16200,3230,2022-10-20
HDB,16800,16630,2022-10-20
HPG,18100,244110,2022-10-20
KDH,25500,6320,2022-10-20
MBB,17150,62660,2022-10-20
MSN,80200,41610,2022-10-20
MWG,58400,18280,2022-10-20
NVL,75100,92370,2022-10-20
PDR,49000,17080,2022-10-20
PLX,33500,10930,2022-10-20
POW,10850,68230,2022-10-20
SAB,191300,330,2022-10-20
SSI,17400,94870,2022-10-20
STB,17150,79830,2022-10-20
TCB,24600,42330,2022-10-20
TPB,20600,18390,2022-10-20
VCB,69200,20440,2022-10-20
VHM,50000,113020,2022-10-20
VIB,19950,9210,2022-10-20
VIC,58600,56160,2022-10-20
VJC,108900,7640,2022-10-20
VNM,77500,35190,2022-10-20
VPB,15950,49060,2022-10-20
VRE,25100,65410,2022-10-20
