Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-11-09,87000,122790,84100.0,81319.05,95388.24,1.16,7.41,6.75,-24.51,-28.84
TPB,2022-11-09,20200,279970,20840.91,20652.38,23451.96,-1.46,-6.26,-9.62,-39.34,-37.17
GVR,2022-11-09,13300,96360,13809.09,14709.52,19403.92,1.92,-6.34,-19.88,-46.26,-66.83
CTG,2022-11-09,24450,1020870,23927.27,23169.05,24170.59,2.52,1.88,22.56,-2.98,-23.98
NVL,2022-11-09,48300,53560,64581.82,69642.86,77474.51,-6.94,-30.2,-38.86,-38.86,-38.57
VHM,2022-11-09,44550,493340,44459.09,46828.57,52713.73,1.71,-0.78,-17.19,-34.41,-44.76
POW,2022-11-09,10850,1043630,10240.0,10423.33,11990.98,3.83,6.37,1.88,-18.42,-15.56
SAB,2022-11-09,184500,14530,184363.64,186133.33,186650.98,0.82,0.54,-1.34,11.89,8.37
FPT,2022-11-09,74000,69770,74236.36,74104.76,78425.49,0.95,0.0,0.0,-8.71,-6.81
HPG,2022-11-09,13000,3278610,15163.64,16640.48,19737.25,-1.14,-15.31,-26.14,-58.21,-69.6
MBB,2022-11-09,16950,843750,17436.36,17235.71,19429.41,-1.45,-5.31,0.0,-24.8,-28.88
VIB,2022-11-09,18400,268520,19504.55,19597.62,21394.12,-0.81,-11.11,-8.0,-35.31,-34.63
STB,2022-11-09,16250,3589910,16290.73,16545.14,19473.49,-1.22,-3.85,-2.99,-32.01,-42.17
BID,2022-11-09,36150,450170,33850.0,33054.76,34127.45,3.58,7.27,23.8,0.98,6.23
VCB,2022-11-09,74000,121480,72600.0,70200.0,73796.08,1.93,0.54,10.94,-7.5,-1.56
GAS,2022-11-09,116400,40480,111290.91,110147.62,110494.12,1.75,5.82,14.12,10.72,0.31
VNM,2022-11-09,80900,270110,79545.45,77433.33,75488.24,-1.82,3.32,15.9,18.53,-5.25
SSI,2022-11-09,14900,861590,15672.73,16297.62,18835.29,-0.67,-9.7,-11.31,-39.9,-62.15
BVH,2022-11-09,51300,69450,51600.0,50754.76,53063.73,0.98,-1.35,6.43,-14.5,-20.83
TCB,2022-11-09,24350,364520,24336.36,24247.62,30116.67,0.83,-3.37,-10.64,-37.08,-53.44
MWG,2022-11-09,45500,215690,48781.82,52566.67,61560.78,2.02,-5.21,-15.74,-34.62,-29.54
VPB,2022-11-09,17500,1639550,16886.36,16385.71,17911.33,1.74,0.0,14.01,-21.17,-29.15
PDR,2022-11-09,30250,21380,39895.45,44076.19,48703.92,-6.92,-27.63,-38.89,-51.13,-55.33
PLX,2022-11-09,28900,66650,28909.09,30523.81,34511.76,-1.87,-1.37,-9.12,-32.32,-46.97
KDH,2022-11-09,20300,220350,21931.82,23364.29,28370.59,0.0,-11.74,-18.8,-48.55,-53.86
VIC,2022-11-09,53700,157390,54681.82,56309.52,59358.82,0.75,-3.07,-10.8,-33.21,-43.41
HDB,2022-11-09,14800,432930,15777.27,16161.9,18166.47,2.07,-10.03,-15.19,-23.08,-33.21
ACB,2022-11-09,20750,327870,21440.91,20973.81,21886.27,-2.58,-4.82,11.26,-15.79,-22.57
VRE,2022-11-09,25400,191600,24950.0,24752.38,26418.63,0.59,-1.55,-2.31,-9.61,-16.45
VJC,2022-11-09,100600,21040,104200.0,106314.29,111327.45,0.2,-4.19,-12.52,-22.08,-23.21
