Symbol,Close,Volume,Date
ACB,21350,327930,2022-11-03
BID,33000,112540,2022-11-03
BVH,52400,49370,2022-11-03
CTG,23600,748920,2022-11-03
FPT,74100,62240,2022-11-03
GAS,111400,16230,2022-11-03
GVR,14250,120300,2022-11-03
HDB,16000,189220,2022-11-03
HPG,15200,2062970,2022-11-03
KDH,23050,119420,2022-11-03
MBB,17650,890470,2022-11-03
MSN,85400,73780,2022-11-03
MWG,49500,260000,2022-11-03
NVL,64400,73850,2022-11-03
PDR,40300,229300,2022-11-03
PLX,29250,59550,2022-11-03
POW,10100,366710,2022-11-03
SAB,182000,6300,2022-11-03
SSI,16500,1130220,2022-11-03
STB,17250,1953400,2022-11-03
TCB,25850,666300,2022-11-03
TPB,21250,379900,2022-11-03
VCB,73000,72660,2022-11-03
VHM,45000,209980,2022-11-03
VIB,20300,435130,2022-11-03
VIC,55100,90970,2022-11-03
VJC,102700,16730,2022-11-03
VNM,80000,127830,2022-11-03
VPB,17500,1140230,2022-11-03
VRE,26000,52460,2022-11-03
