Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-11-04,84300.0,95290.0,81490.91,80547.62,96339.22,-1.29,0.48,-7.77,-27.42,-31.05
TPB,2022-11-04,21300.0,737330.0,20936.36,20695.24,23803.92,0.24,2.16,-11.25,-36.61,-33.9
GVR,2022-11-04,13350.0,163320.0,14059.09,15052.38,19918.63,-6.32,-7.93,-30.1,-50.19,-68.29
CTG,2022-11-04,24500.0,1395700.0,23545.45,22828.57,24356.86,3.81,1.87,11.36,-9.26,-23.24
NVL,2022-11-04,59900.0,33770.0,70272.73,72719.05,79045.1,-6.99,-17.38,-26.95,-25.87,-25.27
VHM,2022-11-04,44500.0,433840.0,44627.27,47702.38,53379.41,-1.11,-0.89,-17.29,-33.33,-44.15
POW,2022-11-04,9800.0,771030.0,10145.45,10440.48,12137.25,-2.97,-5.31,-19.01,-29.5,-24.62
SAB,2022-11-04,182000.0,11750.0,184436.36,186133.33,186798.04,0.0,-2.2,-3.7,8.66,8.15
FPT,2022-11-04,72900.0,164680.0,74090.91,74061.9,78966.67,-1.62,-2.8,-7.02,-11.68,-9.33
HPG,2022-11-04,14650.0,4388960.0,15981.82,17180.95,20185.29,-3.62,-12.8,-23.7,-53.69,-65.8
MBB,2022-11-04,17900.0,2498050.0,17327.27,17240.48,19704.9,1.42,1.42,-6.77,-23.28,-25.03
VIB,2022-11-04,19750.0,676970.0,19813.64,19816.67,21715.69,-2.71,0.25,-7.93,-34.33,-29.84
STB,2022-11-04,16600.0,3210060.0,16149.82,16618.95,19854.86,-3.77,2.79,-13.77,-34.9,-39.96
BID,2022-11-04,33300.0,237660.0,33031.82,32476.19,34285.29,0.91,-1.48,4.72,-10.0,-3.5
VCB,2022-11-04,71800.0,153800.0,71972.73,69357.14,74182.35,-1.64,0.28,0.42,-9.57,-4.88
GAS,2022-11-04,111000.0,32960.0,109536.36,109119.05,110454.9,-0.36,1.83,3.74,3.85,-6.84
VNM,2022-11-04,80000.0,290920.0,77981.82,76171.43,75245.1,0.0,2.56,11.73,17.88,-5.68
SSI,2022-11-04,15350.0,2531080.0,15895.45,16578.57,19278.43,-6.97,-3.46,-17.69,-40.12,-59.73
BVH,2022-11-04,50000.0,89880.0,51500.0,50659.52,53357.84,-4.58,-4.76,-1.19,-21.63,-20.76
TCB,2022-11-04,25500.0,1262640.0,23931.82,24378.57,30744.12,-1.35,4.51,-16.39,-38.55,-51.89
MWG,2022-11-04,46050.0,574290.0,50386.36,53878.57,62651.96,-6.97,-13.44,-25.96,-36.77,-29.77
VPB,2022-11-04,16950.0,3234640.0,16572.73,16214.29,18069.49,-3.14,3.67,-0.29,-25.55,-33.0
PDR,2022-11-04,37500.0,10810.0,43336.36,46126.19,49824.51,-6.95,-15.92,-26.9,-38.52,-46.14
PLX,2022-11-04,28800.0,105120.0,28854.55,30933.33,35090.2,-1.54,-0.69,-12.73,-37.12,-46.57
KDH,2022-11-04,21450.0,212030.0,22445.45,23971.43,29135.29,-6.94,-6.74,-22.0,-48.82,-51.05
VIC,2022-11-04,54300.0,161790.0,55372.73,57033.33,59866.67,-1.45,-2.51,-9.5,-31.95,-42.84
HDB,2022-11-04,15400.0,704990.0,16209.09,16442.86,18460.59,-3.75,-6.67,-16.76,-19.96,-27.9
ACB,2022-11-04,20150.0,1261640.0,21350.0,20750.0,22060.78,-5.62,-9.64,-3.13,-18.75,-25.59
VRE,2022-11-04,26000.0,178610.0,24495.45,24690.48,26569.61,0.0,9.7,-3.7,-12.16,-16.67
VJC,2022-11-04,100100.0,23620.0,105909.09,107304.76,112311.76,-2.53,-7.14,-12.96,-21.8,-23.0
