Symbol,Close,Volume,Date
ACB,22450,335540,2022-11-01
BID,34050,161520,2022-11-01
BVH,53000,103640,2022-11-01
CTG,24450,883150,2022-11-01
FPT,75500,56150,2022-11-01
GAS,110000,45130,2022-11-01
GVR,14500,125910,2022-11-01
HDB,16600,349350,2022-11-01
HPG,15000,8155230,2022-11-01
KDH,22800,156750,2022-11-01
MBB,18000,2085360,2022-11-01
MSN,86500,112860,2022-11-01
MWG,50100,199920,2022-11-01
NVL,70000,121870,2022-11-01
PDR,42400,198970,2022-11-01
PLX,29100,78790,2022-11-01
POW,10350,493380,2022-11-01
SAB,183600,17070,2022-11-01
SSI,16950,2232810,2022-11-01
STB,16900,2945840,2022-11-01
TCB,25650,860340,2022-11-01
TPB,21800,588430,2022-11-01
VCB,75000,82610,2022-11-01
VHM,45000,262280,2022-11-01
VIB,20150,500230,2022-11-01
VIC,55400,141910,2022-11-01
VJC,106300,11130,2022-11-01
VNM,80200,318010,2022-11-01
VPB,17200,2562860,2022-11-01
VRE,26250,202390,2022-11-01
