Symbol,Close,Volume,Date
ACB,22050,484600,2022-10-27
BID,33900,203450,2022-10-27
BVH,53000,86690,2022-10-27
CTG,23950,800560,2022-10-27
FPT,75800,93590,2022-10-27
GAS,110000,46860,2022-10-27
GVR,14400,151230,2022-10-27
HDB,16600,217540,2022-10-27
HPG,17400,2136680,2022-10-27
KDH,23000,166600,2022-10-27
MBB,17500,1309810,2022-10-27
MSN,83000,160790,2022-10-27
MWG,53300,299040,2022-10-27
NVL,73900,108580,2022-10-27
PDR,45400,113150,2022-10-27
PLX,29100,66850,2022-10-27
POW,10400,628110,2022-10-27
SAB,187900,22200,2022-10-27
SSI,15850,2171030,2022-10-27
STB,16050,2198520,2022-10-27
TCB,22850,522280,2022-10-27
TPB,21000,433720,2022-10-27
VCB,71700,129780,2022-10-27
VHM,44000,486910,2022-10-27
VIB,19900,213020,2022-10-27
VIC,55000,197480,2022-10-27
VJC,108000,11440,2022-10-27
VNM,78500,228360,2022-10-27
VPB,16550,2095990,2022-10-27
VRE,23750,196090,2022-10-27
