Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-10-31,85500.0,132990.0,79472.73,81780.95,99125.49,1.91,9.62,-13.64,-25.75,-28.97
TPB,2022-10-31,20700.0,282790.0,20481.82,21197.62,24463.73,-0.72,3.5,-17.2,-38.39,-36.2
GVR,2022-10-31,14400.0,110250.0,15036.36,16038.1,20895.1,-0.69,6.67,-31.1,-50.09,-63.82
CTG,2022-10-31,24600.0,1012150.0,22918.18,22121.43,24761.76,2.29,9.82,6.03,-11.35,-22.22
NVL,2022-10-31,70000.0,245070.0,74136.36,76171.43,80601.96,-3.45,-6.04,-17.55,-14.63,-15.17
VHM,2022-10-31,45000.0,252390.0,46777.27,49507.14,54859.8,0.22,3.45,-11.24,-28.75,-45.51
POW,2022-10-31,10350.0,1029340.0,10486.36,10754.76,12497.06,0.0,3.5,-16.19,-21.29,-19.46
SAB,2022-10-31,185300.0,10570.0,187663.64,186961.9,187678.43,-0.43,-0.43,0.16,14.31,14.64
FPT,2022-10-31,75600.0,108470.0,74581.82,74676.19,80156.63,0.8,2.44,-6.09,-12.6,-4.5
HPG,2022-10-31,15650.0,6629820.0,17431.82,18030.95,21025.49,-6.85,-7.4,-26.18,-52.24,-62.74
MBB,2022-10-31,17700.0,1219590.0,17004.55,17354.76,20220.41,0.28,7.93,-11.5,-28.72,-25.21
VIB,2022-10-31,19600.0,122930.0,19613.64,19959.52,22213.73,-0.51,2.89,-10.91,-38.47,-29.35
STB,2022-10-31,16149.0,1678290.0,16304.36,16971.33,20655.84,0.0,7.66,-21.61,-41.7,-39.4
BID,2022-10-31,34550.0,266340.0,32713.64,31847.62,34843.14,2.22,8.99,1.92,-7.25,4.07
VCB,2022-10-31,73500.0,65940.0,69436.36,68557.14,74919.61,2.65,5.0,0.41,-9.15,-3.03
GAS,2022-10-31,111100.0,15630.0,109290.91,108000.0,110966.67,1.93,2.87,1.0,7.67,-6.14
VNM,2022-10-31,78500.0,157220.0,76609.09,74100.0,74811.76,0.64,3.29,8.58,9.44,-7.45
SSI,2022-10-31,16300.0,2050190.0,16372.73,16926.19,20137.25,2.52,9.76,-17.68,-45.32,-56.68
BVH,2022-10-31,52500.0,78580.0,50813.64,50007.14,53820.59,0.0,2.54,-1.87,-15.46,-17.83
TCB,2022-10-31,24600.0,728470.0,23540.91,25340.48,32066.67,0.82,14.95,-24.31,-44.09,-52.33
MWG,2022-10-31,51600.0,390390.0,54754.55,56409.52,64360.78,-3.01,-0.58,-19.38,-30.38,-19.42
VPB,2022-10-31,16350.0,1107020.0,15909.09,16023.81,18398.55,0.0,5.14,-9.17,-33.17,-34.69
PDR,2022-10-31,43700.0,168290.0,47218.18,48502.38,51418.63,-2.02,-3.96,-14.48,-29.63,-37.5
PLX,2022-10-31,28500.0,85510.0,30550.0,31676.19,36452.94,-1.72,2.7,-13.37,-40.63,-47.51
KDH,2022-10-31,22700.0,150300.0,23700.0,24814.29,30661.76,-1.3,4.61,-19.07,-47.87,-50.46
VIC,2022-10-31,55400.0,105280.0,56527.27,57852.38,60970.59,-0.54,1.09,0.73,-30.75,-42.17
HDB,2022-10-31,16400.0,155760.0,16427.27,16923.81,18915.1,-0.61,2.82,-14.36,-18.97,-19.92
ACB,2022-10-31,22400.0,374730.0,21136.36,20488.1,22389.22,0.45,8.47,0.9,-14.37,-15.15
VRE,2022-10-31,24600.0,134300.0,24054.55,24807.14,26874.51,3.8,10.81,-12.14,-20.39,-20.26
VJC,2022-10-31,107600.0,15470.0,108263.64,109590.48,114268.63,-0.19,0.09,-2.98,-17.17,-18.48
