Symbol,Close,Volume,Date
ACB,20000,546470,2022-11-10
BID,34700,249970,2022-11-10
BVH,48650,106110,2022-11-10
CTG,22750,962330,2022-11-10
FPT,73000,159520,2022-11-10
GAS,113400,27620,2022-11-10
GVR,12400,190600,2022-11-10
HDB,14600,382060,2022-11-10
HPG,12100,7974950,2022-11-10
KDH,19000,175120,2022-11-10
MBB,15800,2003610,2022-11-10
MSN,81000,101530,2022-11-10
MWG,42350,367060,2022-11-10
NVL,44950,33160,2022-11-10
PDR,28150,17560,2022-11-10
PLX,27000,109030,2022-11-10
POW,10250,1246700,2022-11-10
SAB,184500,16760,2022-11-10
SSI,13900,1840610,2022-11-10
STB,15150,3739150,2022-11-10
TCB,22750,758010,2022-11-10
TPB,19900,299360,2022-11-10
VCB,72800,95850,2022-11-10
VHM,43950,402040,2022-11-10
VIB,17500,565280,2022-11-10
VIC,53000,155800,2022-11-10
VJC,100000,21820,2022-11-10
VNM,78400,263760,2022-11-10
VPB,16300,2302160,2022-11-10
VRE,24800,144700,2022-11-10
