Symbol,Date,Close,Volume,Dayoff
ACB,2019-01-02,11058,2910000,No
BID,2019-01-02,25639,1010000,No
BVH,2019-01-02,89000,87080,No
CTG,2019-01-02,19000,2420000,No
FPT,2019-01-02,21478,801490,No
GAS,2019-01-02,86800,417520,No
GVR,2019-01-02,9357,7900,No
HDB,2019-01-02,10938,1860000,No
HPG,2019-01-02,10839,11490000,No
KDH,2019-01-02,18264,144300,No
MBB,2019-01-02,9276,7400000,No
MSN,2019-01-02,78600,433670,No
MWG,2019-01-02,27395,1060000,No
NVL,2019-01-02,35882,860790,No
PDR,2019-01-02,17411,883870,No
PLX,2019-01-02,54400,380020,No
SAB,2019-01-02,248800,46990,No
SSI,2019-01-02,13811,2060000,No
STB,2019-01-02,11600,3860000,No
TCB,2019-01-02,25600,1330000,No
TPB,2019-01-02,12095,168010,No
VCB,2019-01-02,41161,1380000,No
VHM,2019-01-02,55263,434750,No
VIB,2019-01-02,11797,154780,No
VIC,2019-01-02,100400,602450,No
VJC,2019-01-02,117000,509920,No
VNM,2019-01-02,97038,484280,No
VPB,2019-01-02,7185,2800000,No
VRE,2019-01-02,28800,2060000,No
ACB,2019-01-03,10641,5170000,No
BID,2019-01-03,24491,1390000,No
BVH,2019-01-03,89200,55310,No
CTG,2019-01-03,18100,5510000,No
FPT,2019-01-03,21270,1250000,No
GAS,2019-01-03,84700,404480,No
GVR,2019-01-03,9258,17600,No
HDB,2019-01-03,10918,3150000,No
HPG,2019-01-03,10382,18830000,No
KDH,2019-01-03,18264,415220,No
MBB,2019-01-03,8869,17380000,No
MSN,2019-01-03,78000,565640,No
MWG,2019-01-03,26594,2110000,No
NVL,2019-01-03,35047,1130000,No
PDR,2019-01-03,17273,772690,No
PLX,2019-01-03,53600,450490,No
SAB,2019-01-03,245500,98800,No
SSI,2019-01-03,13551,2830000,No
STB,2019-01-03,11100,6280000,No
TCB,2019-01-03,25000,1810000,No
TPB,2019-01-03,11822,144820,No
VCB,2019-01-03,41161,1370000,No
VHM,2019-01-03,55037,617770,No
VIB,2019-01-03,11598,137370,No
VIC,2019-01-03,100300,496950,No
VJC,2019-01-03,116200,579590,No
VNM,2019-01-03,96177,539680,No
VPB,2019-01-03,7037,8150000,No
VRE,2019-01-03,27700,1250000,No
ACB,2019-01-04,10717,7320000,No
BID,2019-01-04,24146,1830000,No
BVH,2019-01-04,88600,96940,No
CTG,2019-01-04,18350,3800000,No
FPT,2019-01-04,21426,556130,No
GAS,2019-01-04,84500,336550,No
GVR,2019-01-04,9258,20830,No
HDB,2019-01-04,11248,2910000,No
HPG,2019-01-04,10452,15990000,No
KDH,2019-01-04,18264,259279,No
MBB,2019-01-04,8917,12300000,No
MSN,2019-01-04,76200,463070,No
MWG,2019-01-04,26786,1300000,No
NVL,2019-01-04,35159,1130000,No
PDR,2019-01-04,17376,711140,No
PLX,2019-01-04,54900,302070,No
SAB,2019-01-04,243200,8540,No
SSI,2019-01-04,13551,2089999,No
STB,2019-01-04,11150,3830000,No
TCB,2019-01-04,24950,2970000,No
TPB,2019-01-04,11791,269430,No
VCB,2019-01-04,41775,1670000,No
VHM,2019-01-04,55639,360930,No
VIB,2019-01-04,11665,131640,No
VIC,2019-01-04,100600,458000,No
VJC,2019-01-04,115000,882080,No
VNM,2019-01-04,97820,598160,No
VPB,2019-01-04,7018,5210000,No
VRE,2019-01-04,27500,982790,No
ACB,2019-01-05,10717,7320000,Yes
BID,2019-01-05,24146,1830000,Yes
BVH,2019-01-05,88600,96940,Yes
CTG,2019-01-05,18350,3800000,Yes
FPT,2019-01-05,21426,556130,Yes
GAS,2019-01-05,84500,336550,Yes
GVR,2019-01-05,9258,20830,Yes
HDB,2019-01-05,11248,2910000,Yes
HPG,2019-01-05,10452,15990000,Yes
KDH,2019-01-05,18264,259279,Yes
MBB,2019-01-05,8917,12300000,Yes
MSN,2019-01-05,76200,463070,Yes
MWG,2019-01-05,26786,1300000,Yes
NVL,2019-01-05,35159,1130000,Yes
PDR,2019-01-05,17376,711140,Yes
PLX,2019-01-05,54900,302070,Yes
SAB,2019-01-05,243200,8540,Yes
SSI,2019-01-05,13551,2089999,Yes
STB,2019-01-05,11150,3830000,Yes
TCB,2019-01-05,24950,2970000,Yes
TPB,2019-01-05,11791,269430,Yes
VCB,2019-01-05,41775,1670000,Yes
VHM,2019-01-05,55639,360930,Yes
VIB,2019-01-05,11665,131640,Yes
VIC,2019-01-05,100600,458000,Yes
VJC,2019-01-05,115000,882080,Yes
VNM,2019-01-05,97820,598160,Yes
VPB,2019-01-05,7018,5210000,Yes
VRE,2019-01-05,27500,982790,Yes
ACB,2019-01-06,10717,7320000,Yes
BID,2019-01-06,24146,1830000,Yes
BVH,2019-01-06,88600,96940,Yes
CTG,2019-01-06,18350,3800000,Yes
FPT,2019-01-06,21426,556130,Yes
GAS,2019-01-06,84500,336550,Yes
GVR,2019-01-06,9258,20830,Yes
HDB,2019-01-06,11248,2910000,Yes
HPG,2019-01-06,10452,15990000,Yes
KDH,2019-01-06,18264,259279,Yes
MBB,2019-01-06,8917,12300000,Yes
MSN,2019-01-06,76200,463070,Yes
MWG,2019-01-06,26786,1300000,Yes
NVL,2019-01-06,35159,1130000,Yes
PDR,2019-01-06,17376,711140,Yes
PLX,2019-01-06,54900,302070,Yes
SAB,2019-01-06,243200,8540,Yes
SSI,2019-01-06,13551,2089999,Yes
STB,2019-01-06,11150,3830000,Yes
TCB,2019-01-06,24950,2970000,Yes
TPB,2019-01-06,11791,269430,Yes
VCB,2019-01-06,41775,1670000,Yes
VHM,2019-01-06,55639,360930,Yes
VIB,2019-01-06,11665,131640,Yes
VIC,2019-01-06,100600,458000,Yes
VJC,2019-01-06,115000,882080,Yes
VNM,2019-01-06,97820,598160,Yes
VPB,2019-01-06,7018,5210000,Yes
VRE,2019-01-06,27500,982790,Yes
ACB,2019-01-07,10868,3450000,No
BID,2019-01-07,24720,1010000,No
BVH,2019-01-07,88600,92970,No
CTG,2019-01-07,18150,3980000,No
FPT,2019-01-07,21791,713070,No
