Symbol,Close,Volume,Date
ACB,20400,338550,2022-10-23
BID,32600,165730,2022-10-23
BVH,48050,91170,2022-10-23
CTG,21650,665860,2022-10-23
FPT,73900,156490,2022-10-23
GAS,107200,46830,2022-10-23
GVR,15100,212430,2022-10-23
HDB,16500,182170,2022-10-23
HPG,16900,4515590,2022-10-23
KDH,23850,327180,2022-10-23
MBB,16100,1374060,2022-10-23
MSN,74800,165120,2022-10-23
MWG,54400,423820,2022-10-23
NVL,75000,194520,2022-10-23
PDR,48700,126360,2022-10-23
PLX,31500,184590,2022-10-23
POW,10300,1189040,2022-10-23
SAB,193000,17750,2022-10-23
SSI,16200,2807640,2022-10-23
STB,15950,2253030,2022-10-23
TCB,22900,963340,2022-10-23
TPB,20100,277880,2022-10-23
VCB,68000,128370,2022-10-23
VHM,47950,538390,2022-10-23
VIB,19200,215170,2022-10-23
VIC,56800,141460,2022-10-23
VJC,108900,20680,2022-10-23
VNM,77000,209760,2022-10-23
VPB,15550,1370660,2022-10-23
VRE,24000,72060,2022-10-23
