Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-10-26,78000,100600,78236.36,84100.0,100623.53,4.0,-2.5,-28.18,-32.26,-32.46
TPB,2022-10-26,20000,112890,20404.55,21759.52,24933.33,-0.74,-2.68,-20.16,-42.78,-36.47
GVR,2022-10-26,13500,129310,15500.0,17023.81,21500.98,1.5,-18.43,-42.18,-54.24,-64.75
CTG,2022-10-26,22400,344960,22340.91,21954.76,25058.82,-0.22,-3.45,-10.4,-18.99,-23.25
NVL,2022-10-26,74500,106920,75145.45,77957.14,81245.1,-0.67,-0.67,-11.83,-8.02,-5.52
VHM,2022-10-26,43500,370030,48895.45,50402.38,55844.12,-2.47,-13.0,-23.95,-31.12,-43.11
POW,2022-10-26,10000,482230,10568.18,11071.43,12711.76,0.3,-9.09,-25.37,-23.08,-19.03
SAB,2022-10-26,186100,15060,187900.0,186557.14,187741.18,-0.91,-2.51,-0.48,10.12,22.4
FPT,2022-10-26,73800,62510,73945.45,75109.52,80871.2,0.82,-2.25,-10.44,-14.1,-7.54
HPG,2022-10-26,16900,1124370,18140.91,18735.71,21476.47,-1.17,-8.15,-25.55,-45.8,-60.34
MBB,2022-10-26,16400,726490,16959.09,17683.33,20529.71,0.0,-6.29,-21.9,-32.95,-29.59
VIB,2022-10-26,19050,78720,19640.91,20328.57,22598.04,-1.04,-6.62,-14.57,-37.43,-30.11
STB,2022-10-26,15000,762480,16659.09,17554.76,21209.8,0.67,-13.29,-30.07,-45.26,-41.41
BID,2022-10-26,31700,68400,32136.36,31783.33,35220.59,1.28,-3.94,-8.78,-14.09,2.18
VCB,2022-10-26,70000,59140,67781.82,68814.29,75468.63,0.14,3.09,-7.77,-13.04,-3.81
GAS,2022-10-26,108000,18180,108809.09,107471.43,111158.82,0.75,-1.01,-4.0,1.79,-2.51
VNM,2022-10-26,76000,82470,75190.91,73233.33,74437.25,0.0,-0.78,-0.91,3.58,-10.79
SSI,2022-10-26,14850,901440,16790.91,17440.48,20644.12,-1.33,-15.86,-28.09,-51.56,-56.93
BVH,2022-10-26,51200,60270,49950.0,50245.24,54099.02,2.4,0.0,-12.33,-17.29,-19.24
TCB,2022-10-26,21400,315340,23900.0,26621.43,32959.8,0.47,-15.08,-37.43,-48.43,-58.04
MWG,2022-10-26,51900,152820,56290.91,58071.43,65103.92,-0.19,-12.03,-25.22,-29.79,-18.38
VPB,2022-10-26,15550,706040,15809.09,16273.81,18617.82,0.65,-2.51,-18.87,-35.92,-37.04
PDR,2022-10-26,45500,87840,48386.36,49383.33,52069.61,-2.57,-8.08,-10.43,-27.43,-35.6
PLX,2022-10-26,27750,62730,31886.36,32416.67,37264.71,-0.89,-16.54,-25.4,-41.95,-49.18
KDH,2022-10-26,21700,296790,24645.45,25657.14,31607.84,3.33,-16.05,-30.67,-49.16,-48.17
VIC,2022-10-26,54800,105410,57800.0,57900.0,61627.45,-2.32,-6.32,-12.46,-29.74,-40.56
HDB,2022-10-26,15950,92040,16527.27,17302.38,19190.0,-0.31,-4.49,-17.95,-18.62,-19.28
ACB,2022-10-26,20650,216910,20477.27,20461.9,22546.08,1.23,-2.13,-8.63,-16.46,-18.31
VRE,2022-10-26,22200,66720,24322.73,25283.33,27194.12,-3.48,-11.9,-22.11,-28.5,-27.45
VJC,2022-10-26,107500,12950,108536.36,109957.14,115207.84,-0.46,-1.47,-4.7,-16.67,-18.87
