Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-10-21,74800,165120,79690.91,88776.19,102466.67,-6.73,-5.32,-33.98,-38.74,-35.51
TPB,2022-10-21,20100,277880,20604.55,22452.38,25425.49,-2.43,-2.43,-20.87,-42.24,-37.91
GVR,2022-10-21,15100,212430,16186.36,18369.05,22162.75,-6.79,-8.21,-35.74,-58.97,-60.11
CTG,2022-10-21,21650,665860,21850.0,22245.24,25446.08,-6.88,-4.63,-16.73,-25.34,-25.45
NVL,2022-10-21,75000,194520,75736.36,79366.67,81678.43,-0.13,-1.32,-11.35,-6.37,-3.68
VHM,2022-10-21,47950,538390,51331.82,52045.24,56848.04,-4.1,-7.61,-18.59,-22.89,-36.65
POW,2022-10-21,10300,1189040,10754.55,11514.29,12945.1,-5.07,-4.63,-24.82,-22.56,-14.52
SAB,2022-10-21,193000,17750,187909.09,186671.43,187566.67,0.89,2.44,2.93,13.73,29.77
FPT,2022-10-21,73900,156490,74027.27,76361.9,81605.06,-5.01,-0.14,-11.39,-19.9,-7.23
HPG,2022-10-21,16900,4515590,18418.18,19550.0,21883.33,-6.63,-13.11,-26.52,-48.49,-60.96
MBB,2022-10-21,16100,1374060,17127.27,18297.62,20905.0,-6.12,-9.55,-24.59,-35.6,-30.75
VIB,2022-10-21,19200,215170,19836.36,20850.0,22996.08,-3.76,-4.95,-13.9,-38.29,-29.76
STB,2022-10-21,15950,2253030,17100.0,18397.62,21817.65,-7.0,-9.63,-27.99,-42.31,-38.89
BID,2022-10-21,32600,165730,31622.73,32188.1,35662.75,-1.66,-1.21,-7.25,-15.32,4.28
VCB,2022-10-21,68000,128370,66500.0,69638.1,76168.63,-1.73,-0.15,-14.14,-13.27,-6.56
GAS,2022-10-21,107200,46830,108054.55,108195.24,111470.59,-3.34,-2.37,-1.74,4.88,-1.85
VNM,2022-10-21,77000,209760,73781.82,73095.24,74231.37,-0.65,4.05,1.58,6.2,-9.11
SSI,2022-10-21,16200,2807640,17281.82,18140.48,21209.8,-6.9,-9.5,-21.74,-49.42,-54.07
BVH,2022-10-21,48050,91170,49595.45,51416.67,54555.88,-5.78,-5.23,-11.67,-27.74,-18.78
TCB,2022-10-21,22900,963340,25086.36,28380.95,33981.37,-6.91,-10.89,-34.66,-47.48,-56.71
MWG,2022-10-21,54400,423820,57381.82,60452.38,65792.16,-6.85,-9.18,-24.13,-29.58,-13.77
VPB,2022-10-21,15550,1370660,15777.27,16722.95,18879.24,-2.51,-3.72,-22.25,-34.29,-37.88
PDR,2022-10-21,48700,126360,49222.73,49954.76,52499.02,-0.61,-0.51,-5.8,-23.19,-31.36
PLX,2022-10-21,31500,184590,33090.91,33542.86,38062.75,-5.97,-6.53,-17.11,-37.38,-41.12
KDH,2022-10-21,23850,327180,25590.91,26866.67,32620.59,-6.47,-10.0,-28.59,-45.34,-41.57
VIC,2022-10-21,56800,141460,58981.82,58766.67,62203.92,-3.07,-4.86,-11.11,-26.71,-37.58
HDB,2022-10-21,16500,182170,16768.18,17759.52,19439.02,-1.79,-2.94,-16.83,-17.17,-16.16
ACB,2022-10-21,20400,338550,19959.09,20778.57,22817.65,-4.45,-2.16,-10.92,-19.05,-21.05
VRE,2022-10-21,24000,72060,25004.55,25961.9,27568.63,-4.38,-4.76,-17.38,-21.31,-21.57
VJC,2022-10-21,108900,20680,109400.0,110476.19,116235.29,0.0,-0.09,-6.2,-20.22,-17.37
