Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-10-25,75000,185040,78400,85514.29,101196.08,0,-6.25,-30.94,-34.87,-35.06
TPB,2022-10-25,20150,323460,20418.18,21766.67,24936.27,0,-2.18,-19.56,-41.59,-35.23
GVR,2022-10-25,13300,283830,15481.82,17014.29,21497.06,-5.34,-20.83,-43.04,-54.92,-65.27
CTG,2022-10-25,22450,864530,22345.45,21957.14,25059.8,6.9,-2.39,-10.2,-17.92,-23.08
NVL,2022-10-25,75000,210570,75190.91,77980.95,81254.9,0.81,-0.13,-11.24,-6.37,-5.35
VHM,2022-10-25,44600,629360,48995.45,50454.76,55865.69,0,-11.68,-22.03,-27.14,-41.53
POW,2022-10-25,9970,1016730,10565.45,11070,12711.18,0.91,-10.18,-25.6,-19.92,-18.61
SAB,2022-10-25,187800,25210,188054.55,186638.1,187774.51,3.76,-1.05,0.43,18.56,22.49
FPT,2022-10-25,73200,156460,73890.91,75080.95,80859.43,2.95,-2.27,-11.17,-14.06,-6.36
HPG,2022-10-25,17100,3110950,18159.09,18745.24,21480.39,4.27,-9.28,-24.67,-44.55,-58.99
MBB,2022-10-25,16400,1603610,16959.09,17683.33,20529.71,5.13,-6.55,-21.9,-29.96,-28.7
VIB,2022-10-25,19250,184550,19659.09,20338.1,22601.96,2.12,-3.51,-13.68,-34.95,-28.11
STB,2022-10-25,14900,2283270,16650,17550,21207.84,0.34,-15.82,-30.54,-44.4,-41.8
BID,2022-10-25,31300,146450,32100,31764.29,35212.75,3.13,-4.57,-9.93,-12.69,0.89
VCB,2022-10-25,69900,153550,67772.73,68809.52,75466.67,2.79,3.25,-7.91,-14.55,-4.05
GAS,2022-10-25,107200,36730,108736.36,107433.33,111143.14,0,-3.42,-4.71,5.38,-1.68
VNM,2022-10-25,76000,165760,75190.91,73233.33,74437.25,2.7,-0.65,-0.91,6.96,-11.29
SSI,2022-10-25,15050,2299940,16809.09,17450,20648.04,-0.33,-15.45,-27.12,-49.51,-55.77
BVH,2022-10-25,50000,113690,49840.91,50188.1,54075.49,4.38,-1.77,-14.38,-14.68,-21.38
TCB,2022-10-25,21300,959330,23890.91,26616.67,32957.84,0,-15.81,-37.72,-48.11,-58.15
MWG,2022-10-25,52000,440070,56300,58076.19,65105.88,2.77,-11.86,-25.07,-27.76,-18.48
VPB,2022-10-25,15450,1526230,15800,16269.05,18615.86,0.32,-3.13,-19.39,-32.33,-37.36
PDR,2022-10-25,46700,140940,48495.45,49440.48,52093.14,-0.64,-6.04,-8.07,-24.68,-35.05
PLX,2022-10-25,28000,163110,31909.09,32428.57,37269.61,-4.44,-15.79,-24.73,-39.91,-48.24
KDH,2022-10-25,21000,344270,24581.82,25623.81,31594.12,-5.41,-20.15,-32.91,-49.78,-50.43
VIC,2022-10-25,56100,144670,57918.18,57961.9,61652.94,-0.71,-3.94,-10.38,-26.38,-39.09
HDB,2022-10-25,16000,169480,16531.82,17304.76,19190.98,0.31,-4.76,-17.7,-15.07,-18.37
ACB,2022-10-25,20400,492680,20454.55,20450,22541.18,4.62,-4.67,-9.73,-16.39,-19.3
VRE,2022-10-25,23000,136920,24395.45,25321.43,27209.8,2.91,-10.85,-19.3,-20.83,-24.34
VJC,2022-10-25,108000,17900,108581.82,109980.95,115217.65,0.93,-1.01,-4.26,-17.56,-18.06
