Symbol,Close,Volume,Date
ACB,20750,327870,2022-11-09
BID,36150,450170,2022-11-09
BVH,51300,69450,2022-11-09
CTG,24450,1020870,2022-11-09
FPT,74000,69770,2022-11-09
GAS,116400,40480,2022-11-09
GVR,13300,96360,2022-11-09
HDB,14800,432930,2022-11-09
HPG,13000,3278610,2022-11-09
KDH,20300,220350,2022-11-09
MBB,16950,843750,2022-11-09
MSN,87000,122790,2022-11-09
MWG,45500,215690,2022-11-09
NVL,48300,53560,2022-11-09
PDR,30250,21380,2022-11-09
PLX,28900,66650,2022-11-09
POW,10850,1043630,2022-11-09
SAB,184500,14530,2022-11-09
SSI,14900,861590,2022-11-09
STB,16250,3589910,2022-11-09
TCB,24350,364520,2022-11-09
TPB,20200,279970,2022-11-09
VCB,74000,121480,2022-11-09
VHM,44550,493340,2022-11-09
VIB,18400,268520,2022-11-09
VIC,53700,157390,2022-11-09
VJC,100600,21040,2022-11-09
VNM,80900,270110,2022-11-09
VPB,17500,1639550,2022-11-09
VRE,25400,191600,2022-11-09
