Symbol,Close,Volume,Date
ACB,20400,492680,2022-10-25
BID,31300,146450,2022-10-25
BVH,50000,113690,2022-10-25
CTG,22450,864530,2022-10-25
FPT,73200,156460,2022-10-25
GAS,107200,36730,2022-10-25
GVR,13300,283830,2022-10-25
HDB,16000,169480,2022-10-25
HPG,17100,3110950,2022-10-25
KDH,21000,344270,2022-10-25
MBB,16400,1603610,2022-10-25
MSN,75000,185040,2022-10-25
MWG,52000,440070,2022-10-25
NVL,75000,210570,2022-10-25
PDR,46700,140940,2022-10-25
PLX,28000,163110,2022-10-25
POW,9970,1016730,2022-10-25
SAB,187800,25210,2022-10-25
SSI,15050,2299940,2022-10-25
STB,14900,2283270,2022-10-25
TCB,21300,959330,2022-10-25
TPB,20150,323460,2022-10-25
VCB,69900,153550,2022-10-25
VHM,44600,629360,2022-10-25
VIB,19250,184550,2022-10-25
VIC,56100,144670,2022-10-25
VJC,108000,17900,2022-10-25
VNM,76000,165760,2022-10-25
VPB,15450,1526230,2022-10-25
VRE,23000,136920,2022-10-25
