Symbol,Close,Volume,Date
ACB,22300,355170,2022-10-29
BID,33800,210620,2022-10-29
BVH,52500,82510,2022-10-29
CTG,24050,763150,2022-10-29
FPT,75000,87580,2022-10-29
GAS,109000,19410,2022-10-29
GVR,14500,143150,2022-10-29
HDB,16500,139500,2022-10-29
HPG,16800,3120410,2022-10-29
KDH,23000,168100,2022-10-29
MBB,17650,1395070,2022-10-29
MSN,83900,176870,2022-10-29
MWG,53200,180200,2022-10-29
NVL,72500,154540,2022-10-29
PDR,44600,99620,2022-10-29
PLX,29000,59380,2022-10-29
POW,10350,617460,2022-10-29
SAB,186100,8580,2022-10-29
SSI,15900,1626250,2022-10-29
STB,16149,1882460,2022-10-29
TCB,24400,1248420,2022-10-29
TPB,20850,278470,2022-10-29
VCB,71600,156100,2022-10-29
VHM,44900,307620,2022-10-29
VIB,19700,230970,2022-10-29
VIC,55700,128100,2022-10-29
VJC,107800,13680,2022-10-29
VNM,78000,143880,2022-10-29
VPB,16350,811120,2022-10-29
VRE,23700,160350,2022-10-29
Symbol,Close,Volume,Date
ACB,22300,355170,2022-10-29
BID,33800,210620,2022-10-29
BVH,52500,82510,2022-10-29
CTG,24050,763150,2022-10-29
FPT,75000,87580,2022-10-29
GAS,109000,19410,2022-10-29
GVR,14500,143150,2022-10-29
HDB,16500,139500,2022-10-29
HPG,16800,3120410,2022-10-29
KDH,23000,168100,2022-10-29
MBB,17650,1395070,2022-10-29
MSN,83900,176870,2022-10-29
MWG,53200,180200,2022-10-29
NVL,72500,154540,2022-10-29
PDR,44600,99620,2022-10-29
PLX,29000,59380,2022-10-29
POW,10350,617460,2022-10-29
SAB,186100,8580,2022-10-29
SSI,15900,1626250,2022-10-29
STB,16149,1882460,2022-10-29
TCB,24400,1248420,2022-10-29
TPB,20850,278470,2022-10-29
VCB,71600,156100,2022-10-29
VHM,44900,307620,2022-10-29
VIB,19700,230970,2022-10-29
VIC,55700,128100,2022-10-29
VJC,107800,13680,2022-10-29
VNM,78000,143880,2022-10-29
VPB,16350,811120,2022-10-29
VRE,23700,160350,2022-10-29
