Symbol,Close,Volume,Date
ACB,21800,353820,2022-11-02
BID,33700,132520,2022-11-02
BVH,52000,63630,2022-11-02
CTG,24000,538980,2022-11-02
FPT,74000,97820,2022-11-02
GAS,110000,58410,2022-11-02
GVR,14200,116790,2022-11-02
HDB,16450,179540,2022-11-02
HPG,15350,4011120,2022-11-02
KDH,23000,155350,2022-11-02
MBB,17900,1020850,2022-11-02
MSN,81000,89190,2022-11-02
MWG,48000,431520,2022-11-02
NVL,69200,167850,2022-11-02
PDR,41800,300090,2022-11-02
PLX,29300,57920,2022-11-02
POW,10200,614510,2022-11-02
SAB,183500,16490,2022-11-02
SSI,16500,1591000,2022-11-02
STB,16900,1912340,2022-11-02
TCB,25200,544230,2022-11-02
TPB,21550,400250,2022-11-02
VCB,73600,125510,2022-11-02
VHM,44900,226310,2022-11-02
VIB,20700,963750,2022-11-02
VIC,55400,135250,2022-11-02
VJC,105000,28960,2022-11-02
VNM,78300,183050,2022-11-02
VPB,17500,2150790,2022-11-02
VRE,25800,120930,2022-11-02
Symbol,Close,Volume,Date
ACB,21800,353820,2022-11-02
BID,33700,132520,2022-11-02
BVH,52000,63630,2022-11-02
CTG,24000,538980,2022-11-02
FPT,74000,97820,2022-11-02
GAS,110000,58410,2022-11-02
GVR,14200,116790,2022-11-02
HDB,16450,179540,2022-11-02
HPG,15350,4011120,2022-11-02
KDH,23000,155350,2022-11-02
MBB,17900,1020850,2022-11-02
MSN,81000,89190,2022-11-02
MWG,48000,431520,2022-11-02
NVL,69200,167850,2022-11-02
PDR,41800,300090,2022-11-02
PLX,29300,57920,2022-11-02
POW,10200,614510,2022-11-02
SAB,183500,16490,2022-11-02
SSI,16500,1591000,2022-11-02
STB,16900,1912340,2022-11-02
TCB,25200,544230,2022-11-02
TPB,21550,400250,2022-11-02
VCB,73600,125510,2022-11-02
VHM,44900,226310,2022-11-02
VIB,20700,963750,2022-11-02
VIC,55400,135250,2022-11-02
VJC,105000,28960,2022-11-02
VNM,78300,183050,2022-11-02
VPB,17500,2150790,2022-11-02
VRE,25800,120930,2022-11-02
