Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-10-27,83000,160790,78409.09,83190.48,100123.53,6.41,3.49,-22.93,-29.74,-31.65
TPB,2022-10-27,21000,433720,20450.0,21585.71,24777.45,5.0,1.94,-15.66,-39.66,-34.53
GVR,2022-10-27,14400,151230,15359.09,16652.38,21296.08,6.67,-11.11,-37.39,-51.19,-62.4
CTG,2022-10-27,23950,800560,22595.45,21985.71,24950.98,6.92,3.01,1.91,-15.37,-21.11
NVL,2022-10-27,73900,108580,74954.55,77466.67,81090.2,-0.81,-1.6,-12.54,-9.1,-6.82
VHM,2022-10-27,44000,486910,48122.73,50059.52,55500.98,1.15,-12.0,-21.29,-30.33,-44.09
POW,2022-10-27,10400,628110,10550.0,10954.76,12641.18,4.0,-4.15,-18.75,-19.69,-16.13
SAB,2022-10-27,187900,22200,188300.0,186790.48,187778.43,0.97,-1.78,1.57,11.18,20.1
FPT,2022-10-27,75800,93590,74254.55,75004.76,80634.37,2.71,-2.57,-6.99,-10.66,-6.29
HPG,2022-10-27,17400,2136680,18022.73,18526.19,21347.06,2.96,-3.87,-22.32,-45.9,-60.29
MBB,2022-10-27,17500,1309810,16990.91,17566.67,20425.96,6.71,2.04,-12.94,-29.29,-26.05
VIB,2022-10-27,19900,213020,19668.18,20190.48,22473.53,4.46,-0.25,-11.75,-35.73,-27.59
STB,2022-10-27,16050,2198520,16577.27,17352.38,21021.57,7.0,-6.41,-21.71,-43.09,-39.43
BID,2022-10-27,33900,203450,32450.0,31802.38,35081.37,6.94,2.26,1.5,-8.87,7.35
VCB,2022-10-27,71700,129780,68481.82,68657.14,75270.59,2.43,3.61,-4.4,-12.02,-3.63
GAS,2022-10-27,110000,46860,109081.82,107757.14,111080.39,1.85,-0.81,-3.17,1.8,-7.15
VNM,2022-10-27,78500,228360,75818.18,73552.38,74574.51,3.29,1.29,6.08,8.27,-8.68
SSI,2022-10-27,15850,2171030,16663.64,17254.76,20469.61,6.73,-8.91,-18.72,-48.14,-55.84
BVH,2022-10-27,53000,86690,50354.55,50102.38,54002.94,3.52,3.92,-8.46,-13.82,-17.17
TCB,2022-10-27,22850,522280,23722.73,26126.19,32641.18,6.78,-7.11,-31.28,-45.07,-55.63
MWG,2022-10-27,53300,299040,55909.09,57514.29,64874.51,2.7,-8.73,-21.62,-27.11,-18.72
VPB,2022-10-27,16550,2095990,15859.09,16180.95,18545.61,6.43,3.76,-10.05,-30.94,-34.58
PDR,2022-10-27,45400,113150,48090.91,49150.0,51897.06,-0.22,-7.35,-9.92,-26.77,-36.27
PLX,2022-10-27,29100,66850,31450.0,32140.48,37009.8,4.86,-13.13,-19.39,-39.75,-47.38
KDH,2022-10-27,23000,166600,24363.64,25352.38,31298.04,5.99,-9.8,-22.3,-46.17,-47.29
VIC,2022-10-27,55000,197480,57345.45,57780.95,61403.92,0.36,-6.14,-11.29,-29.49,-42.11
HDB,2022-10-27,16600,217540,16509.09,17180.95,19102.94,4.08,-1.19,-11.51,-17.0,-17.66
ACB,2022-10-27,22050,484600,20781.82,20464.29,22489.22,6.78,3.28,-0.68,-10.8,-11.8
VRE,2022-10-27,23750,196090,24281.82,25135.71,27080.39,6.98,-5.38,-10.88,-22.13,-23.88
VJC,2022-10-27,108000,11440,108472.73,109857.14,114886.27,0.47,-0.83,-1.91,-16.28,-19.4
