Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-10-28,83900,176870,78881.82,82423.81,99631.37,1.08,12.17,-22.1,-27.45,-33.14
TPB,2022-10-28,20850,278470,20472.73,21402.38,24620.59,-0.71,3.73,-16.27,-37.95,-36.6
GVR,2022-10-28,14500,143150,15222.73,16347.62,21094.12,0.69,-3.97,-36.26,-49.12,-63.1
CTG,2022-10-28,24050,763150,22745.45,22054.76,24850.0,0.42,11.09,2.56,-14.72,-21.28
NVL,2022-10-28,72500,154540,74681.82,76880.95,80884.31,-1.89,-3.33,-14.2,-11.26,-11.9
VHM,2022-10-28,44900,307620,47404.55,49778.57,55179.41,2.05,-6.36,-17.01,-28.35,-42.95
POW,2022-10-28,10350,617460,10527.27,10850.0,12567.65,-0.48,0.49,-20.08,-19.14,-18.82
SAB,2022-10-28,186100,8580,187945.45,186947.62,187741.18,-0.96,-3.58,0.43,12.79,15.56
FPT,2022-10-28,75000,87580,74436.36,74909.52,80385.75,-1.06,1.49,-6.83,-13.7,-7.1
HPG,2022-10-28,16800,3120410,17777.27,18295.24,21195.1,-3.45,-0.59,-25.0,-48.5,-61.73
MBB,2022-10-28,17650,1395070,17013.64,17464.29,20326.78,0.86,9.63,-12.62,-28.08,-25.68
VIB,2022-10-28,19700,230970,19668.18,20073.81,22342.16,-1.01,2.6,-15.27,-35.76,-28.51
STB,2022-10-28,16149,1882460,16440.82,17183.29,20837.24,0.62,1.25,-21.22,-41.7,-39.52
BID,2022-10-28,33800,210620,32572.73,31816.67,34950.0,-0.29,3.68,0.3,-7.9,7.17
VCB,2022-10-28,71600,156100,68945.45,68542.86,75076.47,-0.14,5.29,-3.63,-12.15,-5.53
GAS,2022-10-28,109000,19410,109172.73,107947.62,110992.16,-0.91,1.68,-2.24,3.97,-10.42
VNM,2022-10-28,78000,143880,76200.0,73804.76,74696.08,-0.64,1.3,7.73,8.59,-9.46
SSI,2022-10-28,15900,1626250,16518.18,17092.86,20299.02,0.32,-1.85,-18.67,-46.58,-56.14
BVH,2022-10-28,52500,82510,50650.0,50054.76,53904.9,-0.94,9.26,-8.54,-12.5,-18.83
TCB,2022-10-28,24400,1248420,23640.91,25716.67,32354.9,6.78,6.55,-27.16,-42.32,-52.9
MWG,2022-10-28,53200,180200,55509.09,57000.0,64623.53,-0.19,-2.21,-20.72,-26.14,-18.87
VPB,2022-10-28,16350,811120,15890.91,16102.38,18472.08,-1.21,5.14,-10.49,-32.81,-36.46
PDR,2022-10-28,44600,99620,47695.45,48854.76,51702.94,-1.76,-8.42,-10.8,-28.06,-36.21
PLX,2022-10-28,29000,59380,31022.73,31885.71,36730.39,-0.34,-7.94,-18.08,-39.33,-47.08
KDH,2022-10-28,23000,168100,24045.45,25069.05,30987.25,0.0,-3.56,-21.77,-46.17,-48.89
VIC,2022-10-28,55700,128100,56918.18,57833.33,61203.92,1.27,-1.94,-8.69,-28.5,-41.37
HDB,2022-10-28,16500,139500,16481.82,17054.76,19013.14,-0.6,0.0,-14.51,-18.15,-19.28
ACB,2022-10-28,22300,355170,20995.45,20478.57,22439.22,1.13,9.31,-0.45,-10.08,-10.37
VRE,2022-10-28,23700,160350,24109.09,24969.05,26970.59,-0.21,-1.25,-11.07,-20.6,-23.55
VJC,2022-10-28,107800,13680,108390.91,109747.62,114580.39,-0.19,-1.01,-2.44,-16.43,-19.25
