Symbol,Close,Volume,Date
ACB,20400,338550,2022-10-21
BID,32600,165730,2022-10-21
BVH,48050,91170,2022-10-21
CTG,21650,665860,2022-10-21
FPT,73900,156490,2022-10-21
GAS,107200,46830,2022-10-21
GVR,15100,212430,2022-10-21
HDB,16500,182170,2022-10-21
HPG,16900,4515590,2022-10-21
KDH,23850,327180,2022-10-21
MBB,16100,1374060,2022-10-21
MSN,74800,165120,2022-10-21
MWG,54400,423820,2022-10-21
NVL,75000,194520,2022-10-21
PDR,48700,126360,2022-10-21
PLX,31500,184590,2022-10-21
POW,10300,1189040,2022-10-21
SAB,193000,17750,2022-10-21
SSI,16200,2807640,2022-10-21
STB,15950,2253030,2022-10-21
TCB,22900,963340,2022-10-21
TPB,20100,277880,2022-10-21
VCB,68000,128370,2022-10-21
VHM,47950,538390,2022-10-21
VIB,19200,215170,2022-10-21
VIC,56800,141460,2022-10-21
VJC,108900,20680,2022-10-21
VNM,77000,209760,2022-10-21
VPB,15550,1370660,2022-10-21
VRE,24000,72060,2022-10-21
