Symbol,Close,Volume,Date
ACB,20650,490860,2022-11-07
BID,33300,158220,2022-11-07
BVH,48900,64440,2022-11-07
CTG,23350,703310,2022-11-07
FPT,72600,157240,2022-11-07
GAS,112900,40490,2022-11-07
GVR,12450,155660,2022-11-07
HDB,14350,488890,2022-11-07
HPG,13700,3826310,2022-11-07
KDH,19950,186530,2022-11-07
MBB,16950,1158470,2022-11-07
MSN,84500,126670,2022-11-07
MWG,42850,534420,2022-11-07
NVL,55800,39330,2022-11-07
PDR,34900,28010,2022-11-07
PLX,28850,68630,2022-11-07
POW,9790,636340,2022-11-07
SAB,184000,19680,2022-11-07
SSI,14300,2116760,2022-11-07
STB,15500,2069890,2022-11-07
TCB,23750,632620,2022-11-07
TPB,20100,252180,2022-11-07
VCB,71800,123200,2022-11-07
VHM,43900,302050,2022-11-07
VIB,18450,597830,2022-11-07
VIC,53400,170250,2022-11-07
VJC,100200,23000,2022-11-07
VNM,82200,263830,2022-11-07
VPB,17100,2317150,2022-11-07
VRE,25500,157520,2022-11-07
