Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-10-24,72800,129570,78900.0,87071.43,101819.61,-2.67,-7.85,-32.97,-40.52,-37.19
TPB,2022-10-24,20150,326170,20404.55,22219.05,25265.69,0.25,-2.18,-19.56,-42.76,-37.03
GVR,2022-10-24,14050,169470,15954.55,17926.19,21947.06,-6.95,-15.36,-39.83,-53.93,-62.13
CTG,2022-10-24,21000,494500,21945.45,22054.76,25300.0,-3.0,-6.87,-16.0,-28.57,-27.44
NVL,2022-10-24,74400,235720,75318.18,78885.71,81505.88,-0.8,-0.8,-11.95,-8.15,-5.65
VHM,2022-10-24,44600,183400,50495.45,51445.24,56520.59,-6.99,-9.9,-22.03,-29.05,-41.15
POW,2022-10-24,9880,1141390,10684.55,11346.67,12865.29,-4.08,-11.39,-26.27,-25.99,-18.35
SAB,2022-10-24,181000,27930,187363.64,186385.71,187547.06,-6.22,-2.22,-3.21,6.28,18.21
FPT,2022-10-24,71100,142610,73763.64,75823.81,81332.29,-3.79,-3.66,-13.71,-22.31,-10.28
HPG,2022-10-24,16400,2797310,18309.09,19250.0,21738.24,-2.96,-14.81,-27.75,-50.52,-61.78
MBB,2022-10-24,15600,1741810,17004.55,18040.48,20766.45,-3.11,-10.86,-25.71,-37.6,-32.9
VIB,2022-10-24,18850,191910,19731.82,20685.71,22855.88,-1.82,-5.28,-15.47,-40.12,-31.04
STB,2022-10-24,14850,2714740,16927.27,18083.33,21620.59,-6.9,-18.18,-30.77,-48.44,-43.32
BID,2022-10-24,30350,137420,31727.27,31978.57,35504.9,-6.9,-7.19,-12.66,-21.17,-2.42
VCB,2022-10-24,68000,67010,66618.18,69261.9,75923.53,0.0,2.56,-10.41,-17.27,-6.86
GAS,2022-10-24,107200,50360,108527.27,107942.86,111398.04,0.0,-3.86,-4.71,-1.94,-1.76
VNM,2022-10-24,74000,157860,74163.64,72966.67,74260.78,-3.9,-0.13,-3.52,0.85,-14.01
SSI,2022-10-24,15100,2335420,17127.27,17876.19,21024.51,-6.79,-16.11,-26.88,-52.86,-56.65
BVH,2022-10-24,47900,78860,49568.18,50916.67,54367.65,-0.31,-5.52,-17.98,-23.97,-19.43
TCB,2022-10-24,21300,1180060,24545.45,27766.67,33638.24,-6.99,-15.14,-37.72,-51.7,-59.27
MWG,2022-10-24,50600,482800,57072.73,59557.14,65537.25,-6.99,-14.09,-27.09,-34.62,-20.17
VPB,2022-10-24,15400,1049320,15781.82,16543.62,18787.75,-0.96,-3.45,-19.65,-37.23,-37.9
PDR,2022-10-24,47000,135110,48995.45,49773.81,52367.65,-3.49,-5.24,-7.48,-27.58,-35.29
PLX,2022-10-24,29300,145210,32863.64,33166.67,37814.71,-6.98,-10.94,-21.24,-41.52,-44.61
KDH,2022-10-24,22200,122370,25336.36,26433.33,32296.08,-6.92,-13.28,-29.07,-50.16,-46.39
VIC,2022-10-24,56500,160610,58645.45,58476.19,62041.18,-0.53,0.89,-9.74,-27.28,-38.45
HDB,2022-10-24,15950,222050,16631.82,17593.33,19358.82,-3.33,-3.33,-17.95,-20.73,-18.79
ACB,2022-10-24,19500,279780,20036.36,20630.95,22712.75,-4.41,-6.92,-13.72,-24.54,-22.86
VRE,2022-10-24,22350,177810,24672.73,25669.05,27450.0,-6.88,-10.24,-21.58,-27.67,-27.08
VJC,2022-10-24,107000,20780,108672.73,110200.0,115874.51,-1.74,-1.83,-5.14,-22.58,-18.82
