Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-11-03,85400.0,73780.0,80627.27,80414.29,96880.39,5.43,1.79,-5.64,-27.71,-30.2
TPB,2022-11-03,21250.0,379900.0,20827.27,20745.24,23937.25,-1.39,1.92,-10.71,-37.87,-34.43
GVR,2022-11-03,14250.0,120300.0,14218.18,15207.14,20130.39,0.35,-1.72,-21.92,-49.47,-63.79
CTG,2022-11-03,23600.0,748920.0,23286.36,22611.9,24429.41,-1.67,-1.87,13.73,-15.41,-25.84
NVL,2022-11-03,64400.0,73850.0,71645.45,73628.57,79496.08,-6.94,-11.17,-21.46,-20.69,-18.88
VHM,2022-11-03,45000.0,209980.0,44940.91,48145.24,53677.45,0.22,0.22,-11.07,-32.68,-44.0
POW,2022-11-03,10100.0,366710.0,10190.91,10480.95,12220.59,-0.98,-2.42,-12.93,-28.62,-20.16
SAB,2022-11-03,182000.0,6300.0,185436.36,186371.43,186896.08,-0.82,-2.2,-3.19,7.44,8.27
FPT,2022-11-03,74100.0,62240.0,74181.82,74114.29,79227.45,0.14,-1.2,-4.39,-14.08,-6.3
HPG,2022-11-03,15200.0,2062970.0,16186.36,17321.43,20358.82,-0.98,-9.52,-19.36,-52.24,-64.33
MBB,2022-11-03,17650.0,890470.0,17163.64,17195.24,19810.78,-1.4,0.0,-6.12,-26.96,-26.71
VIB,2022-11-03,20300.0,435130.0,19763.64,19828.57,21820.59,-1.93,3.05,-4.47,-34.44,-28.45
STB,2022-11-03,17250.0,1953400.0,16090.73,16626.1,20027.41,2.07,6.82,-8.0,-35.87,-37.16
BID,2022-11-03,33000.0,112540.0,32968.18,32280.95,34402.94,-2.08,-2.37,6.45,-13.61,-5.23
VCB,2022-11-03,73000.0,72660.0,71627.27,69114.29,74382.35,-0.82,1.96,2.38,-9.88,-4.17
GAS,2022-11-03,111400.0,16230.0,109190.91,108690.48,110578.43,1.27,2.2,5.09,4.6,-2.27
VNM,2022-11-03,80000.0,127830.0,77709.09,75685.71,75200.0,2.17,2.56,12.83,14.77,-4.83
SSI,2022-11-03,16500.0,1130220.0,15972.73,16647.62,19472.55,0.0,3.77,-7.3,-40.1,-56.81
BVH,2022-11-03,52400.0,49370.0,51322.73,50573.81,53493.14,0.77,-0.19,8.71,-18.13,-16.31
TCB,2022-11-03,25850.0,666300.0,23695.45,24461.9,31013.73,2.58,5.94,-14.69,-39.32,-51.5
MWG,2022-11-03,49500.0,260000.0,51145.45,54257.14,63058.82,3.13,-6.95,-18.85,-33.3,-23.29
VPB,2022-11-03,17500.0,1140230.0,16445.45,16138.1,18147.59,0.0,7.03,4.17,-26.16,-30.92
PDR,2022-11-03,40300.0,229300.0,44354.55,46697.62,50195.1,-3.59,-9.64,-21.14,-34.47,-41.38
PLX,2022-11-03,29250.0,59550.0,29100.0,31076.19,35384.31,-0.17,0.86,-8.59,-38.55,-44.5
KDH,2022-11-03,23050.0,119420.0,22663.64,24140.48,29454.9,0.22,0.22,-11.85,-45.0,-46.56
VIC,2022-11-03,55100.0,90970.0,55600.0,57314.29,60074.51,-0.54,-1.08,-3.33,-31.13,-42.0
HDB,2022-11-03,16000.0,189220.0,16309.09,16540.48,18564.9,-2.74,-3.03,-13.51,-20.48,-26.06
ACB,2022-11-03,21350.0,327930.0,21372.73,20678.57,22152.94,-2.06,-4.26,1.67,-15.81,-19.49
VRE,2022-11-03,26000.0,52460.0,24313.64,24690.48,26620.59,0.78,9.7,-2.62,-14.19,-17.59
VJC,2022-11-03,102700.0,16730.0,106709.09,108014.29,112770.59,-2.19,-4.73,-9.03,-21.48,-20.76
