Symbol,Date,Close,Volume,MA10,MA20,MA50,Price_change_in_day,Price_change_in_week,Price_change_in_month,Price_change_in_6mongth,Price_change_in_year
MSN,2022-11-10,81000,101530,84372.73,81314.29,94776.47,-6.9,-5.15,0.62,-27.08,-33.71
TPB,2022-11-10,19900,299360,20831.82,20623.81,23299.02,-1.49,-6.35,-4.33,-40.51,-38.94
GVR,2022-11-10,12400,190600,13709.09,14540.48,19157.84,-6.77,-12.98,-24.67,-49.59,-69.08
CTG,2022-11-10,22750,962330,23959.09,23245.24,24069.61,-6.95,-3.6,9.9,-14.79,-28.29
NVL,2022-11-10,44950,33160,61895.45,68164.29,76746.08,-6.94,-30.2,-41.16,-42.88,-43.38
VHM,2022-11-10,43950,402040,44500.0,46421.43,52404.9,-1.35,-2.33,-18.46,-35.84,-45.24
POW,2022-11-10,10250,1246700,10262.73,10406.67,11918.43,-5.53,1.49,-6.82,-22.35,-21.76
SAB,2022-11-10,184500,16760,184218.18,186180.95,186582.35,0.0,1.37,0.0,12.84,8.37
FPT,2022-11-10,73000,159520,74163.64,74133.33,78160.78,-1.35,-1.48,-1.35,-13.03,-8.64
HPG,2022-11-10,12100,7974950,14727.27,16326.19,19523.53,-6.92,-20.39,-34.06,-60.67,-71.09
MBB,2022-11-10,15800,2003610,17381.82,17171.43,19280.39,-6.78,-10.48,-8.41,-31.05,-33.71
VIB,2022-11-10,17500,565280,19363.64,19497.62,21241.18,-4.89,-13.79,-12.28,-40.11,-37.66
STB,2022-11-10,15150,3739150,16304.36,16459.43,19283.29,-6.77,-12.17,-10.88,-35.67,-46.75
BID,2022-11-10,34700,249970,34122.73,33257.14,34043.14,-4.01,5.15,15.67,-3.88,1.97
VCB,2022-11-10,72800,95850,72854.55,70619.05,73605.88,-1.62,-0.27,11.83,-9.0,-3.65
GAS,2022-11-10,113400,27620,111781.82,110452.38,110413.73,-2.58,1.8,6.98,6.97,-3.25
VNM,2022-11-10,78400,263760,79763.64,77757.14,75545.1,-3.09,-2.0,11.21,16.69,-8.08
SSI,2022-11-10,13900,1840610,15586.36,16138.1,18629.41,-6.71,-15.76,-20.11,-43.52,-65.0
BVH,2022-11-10,48650,106110,51368.18,50759.52,52894.12,-5.17,-7.16,-2.7,-16.84,-24.57
TCB,2022-11-10,22750,758010,24459.09,24150.0,29802.94,-6.57,-11.99,-11.82,-41.67,-56.0
MWG,2022-11-10,42350,367060,47913.64,51845.24,60940.2,-6.92,-14.44,-25.83,-39.54,-35.17
VPB,2022-11-10,16300,2302160,16954.55,16400.0,17823.1,-6.86,-6.86,6.19,-26.79,-33.38
PDR,2022-11-10,28150,17560,38318.18,43100.0,48200.98,-6.94,-30.15,-43.81,-53.62,-56.99
PLX,2022-11-10,27000,109030,28840.91,30195.24,34200.0,-6.57,-7.69,-19.4,-34.94,-53.69
KDH,2022-11-10,19000,175120,21686.36,23026.19,28005.88,-6.4,-17.57,-26.64,-52.06,-56.73
VIC,2022-11-10,53000,155800,54518.18,55976.19,59150.98,-1.3,-3.81,-11.96,-34.16,-44.15
HDB,2022-11-10,14600,382060,15654.55,16057.14,18045.69,-1.35,-8.75,-13.61,-24.74,-34.82
ACB,2022-11-10,20000,546470,21381.82,21035.71,21797.06,-3.61,-6.32,6.95,-20.89,-25.15
VRE,2022-11-10,24800,144700,25186.36,24780.95,26348.04,-2.36,-4.62,-2.36,-14.19,-19.74
VJC,2022-11-10,100000,21820,103518.18,105900.0,110896.08,-0.6,-2.63,-9.09,-20.95,-22.9
